Brand,weight (g),Calories,Fat,Sat fat,Cholest,Sodium,Carbs,Fiber,Sugars tot,Protein,Cal/gram,Unit Price
,,,,,,,,,,,,
Gatorade Recover,80,360,12,10,30,160,41,2,29,20,=C3/B3,
Think!,60,230,8,3,,190,23,1,0,20,=C4/B4,
Kirkland Nut Bars ,40,200,15,3.5,0,125,17,8,6,5,=C5/B5,
Balance peanut butter,50,200,7,3,,170,21,1,17,15,=C6/B6,
"Kirkland Protein bars, choc chip cookie dough",60,190,7,2.5,5,190,22,15,1,21,=C7/B7,
"Kirkland Protein Bars, Chocolate Brownie",60,190,6,2.5,5,140,22,10,2,21,=C8/B8,
Larabar peanut chocolate,35,190,13,3.5,0,45,14,3,7,5,=C9/B9,
Luna chocchip cookie dough,45,170,5,3.5,5,260,21,3,14,12,=C10/B10,
Kind dark choc mocha,35,140,4.5,1,0,75,24,2,7,3,=C11/B11,
Kashi dark mocha almond,35,140,5,1,0,65,23,3,7,3,=C12/B12,
Nutrigrain,37,120,3,0.5,0,110,24,3,12,2,=C13/B13,
Fibre One mini,24,80,2.5,1.5,0,55,17,5,5,1,=C14/B14,
Rxbar choc sea salt,52,210,9,2,0,260,23,5,13,12,=C15/B15,
Supreme Protein bar,47,180,5,2.5,5,250,21,3,12,15,=C16/B16,
Clif Nut Butter bar,50,230,11,2.5,0,150,26,3,9,7,=C17/B17,
Snickers bar,57,280,14,5.2,7.4,136,35,1.3,29,4.3,=C18/B18,
FITcrunch,45,190,8,4,10,200,14,1,3,16,=C19/B19,=23/18
